商品ID,商品标题,价格,原价,月销量,评价数,店铺名称,店铺等级,发货地,运费,平台
PROD10000,VIVO专用 简约纯色手机壳 防摔防震保护套,25,48,2285,522,数码手机配件店,4钻,浙江义乌,5元,拼多多
PROD10001,小米专用 透明硅胶手机壳 防摔防震保护套,41,68,2965,1155,优品手机配件铺,2皇冠,浙江杭州,5元,京东
PROD10002,华为专用 防摔气囊手机壳 防摔防震保护套,39,60,6362,1740,数码手机配件铺,3钻,江苏苏州,包邮,京东
PROD10003,通用款 透明硅胶手机壳 防摔防震保护套,25,36,3651,956,旗舰手机配件店,4皇冠,广东深圳,包邮,拼多多
PROD10004,OPPO专用 透明硅胶手机壳 防摔防震保护套,35,68,2593,674,专营手机配件馆,5钻,广东广州,包邮,拼多多
PROD10005,通用款 卡通图案手机壳 防摔防震保护套,36,66,2744,1024,精品手机配件馆,1皇冠,浙江杭州,包邮,京东
PROD10006,OPPO专用 磨砂硬壳手机壳 防摔防震保护套,20,35,4647,991,精品手机配件店,2皇冠,江苏苏州,包邮,拼多多
PROD10007,通用款 透明硅胶手机壳 防摔防震保护套,13,22,9020,2940,优品手机配件馆,3钻,浙江杭州,包邮,京东
PROD10008,小米专用 卡通图案手机壳 防摔防震保护套,15,20,11179,3390,优品手机配件馆,4皇冠,江苏苏州,5元,拼多多
PROD10009,OPPO专用 渐变色手机壳 防摔防震保护套,18,26,22432,8195,数码手机配件铺,4钻,广东深圳,5元,拼多多
PROD10010,华为专用 简约纯色手机壳 防摔防震保护套,34,66,7744,2432,专营手机配件店,3钻,江苏苏州,包邮,淘宝
PROD10011,OPPO专用 皮革翻盖手机壳 防摔防震保护套,41,73,791,166,专营手机配件铺,1皇冠,江苏苏州,包邮,淘宝
PROD10012,苹果专用 卡通图案手机壳 防摔防震保护套,20,39,1461,296,专营手机配件铺,1皇冠,浙江杭州,5元,淘宝
PROD10013,华为专用 皮革翻盖手机壳 防摔防震保护套,37,72,7163,2553,数码手机配件铺,3皇冠,浙江杭州,5元,淘宝
PROD10014,OPPO专用 皮革翻盖手机壳 防摔防震保护套,63,91,1259,434,优品手机配件店,1皇冠,广东广州,5元,淘宝
PROD10015,苹果专用 防摔气囊手机壳 防摔防震保护套,46,67,1947,742,旗舰手机配件店,2皇冠,浙江杭州,包邮,淘宝
PROD10016,OPPO专用 液态硅胶手机壳 防摔防震保护套,45,89,1728,582,优品手机配件馆,3皇冠,浙江杭州,包邮,淘宝
PROD10017,苹果专用 透明硅胶手机壳 防摔防震保护套,13,19,10695,3146,旗舰手机配件店,2皇冠,江苏苏州,包邮,淘宝
PROD10018,小米专用 简约纯色手机壳 防摔防震保护套,29,57,5998,1644,优品手机配件店,3钻,江苏苏州,包邮,拼多多
PROD10019,华为专用 渐变色手机壳 防摔防震保护套,31,59,1580,344,专营手机配件铺,1皇冠,广东广州,包邮,淘宝
PROD10020,小米专用 透明硅胶手机壳 防摔防震保护套,18,29,12207,4267,精品手机配件店,5钻,浙江义乌,包邮,京东
PROD10021,小米专用 简约纯色手机壳 防摔防震保护套,20,30,4524,1595,优品手机配件馆,2皇冠,浙江杭州,包邮,淘宝
PROD10022,华为专用 透明硅胶手机壳 防摔防震保护套,24,34,4352,1096,精品手机配件馆,1皇冠,广东深圳,5元,淘宝
PROD10023,OPPO专用 卡通图案手机壳 防摔防震保护套,45,73,2119,471,优品手机配件馆,3钻,浙江义乌,包邮,淘宝
PROD10024,小米专用 液态硅胶手机壳 防摔防震保护套,35,63,7238,1842,精品手机配件店,4钻,江苏苏州,包邮,京东
PROD10025,VIVO专用 液态硅胶手机壳 防摔防震保护套,51,99,1108,391,精品手机配件店,5钻,广东深圳,包邮,京东
PROD10026,通用款 磨砂硬壳手机壳 防摔防震保护套,35,54,1368,502,优品手机配件馆,3钻,广东深圳,5元,京东
PROD10027,通用款 渐变色手机壳 防摔防震保护套,39,67,2706,862,专营手机配件店,5钻,广东深圳,5元,拼多多
PROD10028,通用款 液态硅胶手机壳 防摔防震保护套,38,72,7066,2322,优品手机配件铺,4皇冠,广东深圳,包邮,京东
PROD10029,VIVO专用 简约纯色手机壳 防摔防震保护套,15,23,8833,2190,优品手机配件馆,3钻,广东深圳,包邮,淘宝
PROD10030,OPPO专用 简约纯色手机壳 防摔防震保护套,28,49,5858,1352,数码手机配件铺,1皇冠,浙江杭州,包邮,京东
PROD10031,VIVO专用 液态硅胶手机壳 防摔防震保护套,47,82,1605,485,精品手机配件馆,1皇冠,浙江杭州,5元,拼多多
PROD10032,VIVO专用 简约纯色手机壳 防摔防震保护套,15,27,15066,4862,精品手机配件店,3皇冠,浙江杭州,包邮,淘宝
PROD10033,VIVO专用 卡通图案手机壳 防摔防震保护套,39,69,5805,1957,优品手机配件馆,1皇冠,江苏苏州,包邮,拼多多
PROD10034,OPPO专用 简约纯色手机壳 防摔防震保护套,15,29,18650,4850,优品手机配件馆,3皇冠,浙江义乌,包邮,京东
PROD10035,OPPO专用 防摔气囊手机壳 防摔防震保护套,66,88,413,158,专营手机配件铺,3钻,江苏苏州,5元,拼多多
PROD10036,苹果专用 渐变色手机壳 防摔防震保护套,26,40,5296,1145,专营手机配件铺,3钻,广东深圳,5元,淘宝
